IP,Ping,Hostname,Ports,TTL,Filtered Ports,Web detect,Comments,NetBIOS Info
10.2.2.160,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.161,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.162,8Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.163,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.164,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.165,2Êms,[n/a],23.80.9715,[n/a],[n/a],[n/a],[n/a],[n/a]
10.2.2.166,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.167,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.168,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.169,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.170,7Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.171,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.172,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.175,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.176,7Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.180,1Êms,[n/a],23.80.9715,[n/a],[n/a],[n/a],[n/a],[n/a]
